title, author, link, recommended by, recommendation date
management accounting, ,https://www.amazon.com/Management-Accounting-Garrison-author-Carsten/dp/0077185536, ,
No-no boy,Okada, https://openlibrary.org/works/OL6575973W/No-no_boy, Michal/RanoRaraku, 2024-08-19
Why Iceland?, Ásgeir Jónsson, https://www.amazon.com/Why-Iceland-Smallest-Countries-Meltdowns/dp/0071632840 , ,
Syrpa 141-143; 145-146; 150; 154; 155; 161; 163-164, Disney, https://www.edda.is/annad/Vorur/?categoryid=7bef3afe-f51f-46ed-b101-0c53b5dd27cc , ,
lifanði mál orðræðu, Þorunn Blondal, https://www.boksala.is/product/lifandi-mal-inngangur-ad-ordraedu-og-sa/, HB, 2024-09
snow crash, neal stephenson, https://en.m.wikipedia.org/wiki/Snow_Crash, haskoladansinn classmate, 2024-11-14
brainstorm, sara schley, https://www.amazon.com/BrainStorm-Broken-Blessed-Bipolar-Spectrum/dp/B09QHVCFD8, nina, 2024-11-26
an unquiet mind,,https://en.m.wikipedia.org/wiki/An_Unquiet_Mind, Bonnie
what my bones know,,https://www.amazon.com/What-My-Bones-Know-Healing/dp/0593238109, Bonnie
Ripples From Iceland,Amalia Lindal,https://www.amazon.com/Ripples-Iceland-AMALIA-LINDAL/dp/B000JVA9JM, Elizabeth L.,
https://messiana.is/petur/INDICES/bjolfskvida.html
you will get through this night,daniel howell, https://www.amazon.com/gp/aw/d/0063053888/ref=tmm_hrd_swatch_0#video-immersive-view_1748819986385,JF,2025-06-01
